"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"53","Moto / Motocicleta","129","12.3","0","0","129","100","0","0","0","NaN","0","NaN","33","7.8","96","15.3","0","NaN","11","3.2","29","9.1","40","17.1","30","26.1","19","47.5","0","NaN","31","17.6","64","17.5","20","7.4","14","5.8","38","17.1","6","3.8","9","5.8","15","9.2","22","12.9","39","21.4","48","10.5","12","14.3","16","9.7","53","15.9","0","0"
"54","Ambas","106","10.1","0","0","0","0","106","100","0","NaN","0","NaN","37","8.7","69","11","0","NaN","33","9.5","26","8.2","25","10.7","17","14.8","5","12.5","0","NaN","26","14.8","22","6","29","10.7","29","12.1","19","8.6","16","10.1","15","9.7","20","12.3","18","10.5","18","9.9","47","10.3","8","9.5","17","10.3","34","10.2","0","0"
"55","Otro (Camión de carga)","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","No cuenta con ninguno","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59","P11","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"60","Casado(a)","394","37.5","318","38.9","37","28.7","39","36.8","0","NaN","0","NaN","125","29.5","269","42.8","0","NaN","151","43.6","110","34.7","76","32.5","40","34.8","17","42.5","0","NaN","9","5.1","89","24.4","157","57.9","139","57.9","81","36.5","49","30.8","76","49","62","38","53","31","73","40.1","349","76.2","45","53.6","0","0","0","0","0","0"
"61","Divorciado(a)","93","8.8","75","9.2","9","7","9","8.5","0","NaN","0","NaN","55","13","38","6.1","0","NaN","35","10.1","28","8.8","17","7.3","12","10.4","1","2.5","0","NaN","1","0.6","24","6.6","29","10.7","39","16.2","14","6.3","18","11.3","10","6.5","17","10.4","12","7","22","12.1","0","0","0","0","79","47.9","14","4.2","0","0"
"62","NsNc","12","1.1","12","1.5","0","0","0","0","0","NaN","0","NaN","5","1.2","7","1.1","0","NaN","6","1.7","4","1.3","1","0.4","1","0.9","0","0","0","NaN","2","1.1","8","2.2","2","0.7","0","0","3","1.4","2","1.3","1","0.6","0","0","3","1.8","3","1.6","0","0","0","0","0","0","0","0","12","100"
"63","Soltero(a)","374","35.6","279","34.1","58","45","37","34.9","0","NaN","0","NaN","168","39.6","206","32.8","0","NaN","117","33.8","118","37.2","92","39.3","36","31.3","11","27.5","0","NaN","144","81.8","182","49.9","34","12.5","14","5.8","88","39.6","47","29.6","60","38.7","42","25.8","71","41.5","66","36.3","0","0","0","0","56","33.9","318","95.5","0","0"
"64","Unión libre","148","14.1","109","13.3","23","17.8","16","15.1","0","NaN","0","NaN","56","13.2","92","14.6","0","NaN","33","9.5","46","14.5","38","16.2","22","19.1","9","22.5","0","NaN","20","11.4","61","16.7","44","16.2","23","9.6","33","14.9","34","21.4","7","4.5","31","19","29","17","14","7.7","109","23.8","39","46.4","0","0","0","0","0","0"
"65","Viudo(a)","31","2.9","24","2.9","2","1.6","5","4.7","0","NaN","0","NaN","15","3.5","16","2.5","0","NaN","4","1.2","11","3.5","10","4.3","4","3.5","2","5","0","NaN","0","0","1","0.3","5","1.8","25","10.4","3","1.4","9","5.7","1","0.6","11","6.7","3","1.8","4","2.2","0","0","0","0","30","18.2","1","0.3","0","0"
"66","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"68","P11Tiempo","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"69","4 años o menos","99","9.4","65","8","21","16.3","13","12.3","0","NaN","0","NaN","43","10.1","56","8.9","0","NaN","27","7.8","23","7.3","28","12","12","10.4","9","22.5","0","NaN","22","12.5","57","15.6","18","6.6","2","0.8","16","7.2","21","13.2","7","4.5","14","8.6","15","8.8","26","14.3","57","12.4","42","50","0","0","0","0","0","0"
"70","De 5 a 9 años","111","10.6","82","10","18","14","11","10.4","0","NaN","0","NaN","38","9","73","11.6","0","NaN","30","8.7","34","10.7","21","9","17","14.8","9","22.5","0","NaN","7","4","58","15.9","40","14.8","6","2.5","15","6.8","17","10.7","9","5.8","30","18.4","17","9.9","23","12.6","93","20.3","18","21.4","0","0","0","0","0","0"
"71","De 10 a 14 años","68","6.5","58","7.1","4","3.1","6","5.7","0","NaN","0","NaN","22","5.2","46","7.3","0","NaN","21","6.1","24","7.6","13","5.6","8","7","2","5","0","NaN","0","0","15","4.1","39","14.4","14","5.8","11","5","9","5.7","10","6.5","16","9.8","8","4.7","14","7.7","62","13.5","6","7.1","0","0","0","0","0","0"
"72","De 15 a 19 años","58","5.5","47","5.8","5","3.9","6","5.7","0","NaN","0","NaN","19","4.5","39","6.2","0","NaN","21","6.1","21","6.6","9","3.8","5","4.3","2","5","0","NaN","0","0","1","0.3","34","12.5","23","9.6","13","5.9","9","5.7","8","5.2","17","10.4","6","3.5","5","2.7","55","12","3","3.6","0","0","0","0","0","0"
"73","20 años o más","127","12.1","110","13.5","5","3.9","12","11.3","0","NaN","0","NaN","40","9.4","87","13.9","0","NaN","52","15","29","9.1","26","11.1","16","13.9","4","10","0","NaN","0","0","0","0","29","10.7","98","40.8","24","10.8","22","13.8","23","14.8","16","9.8","27","15.8","15","8.2","125","27.3","2","2.4","0","0","0","0","0","0"
"74","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76","P12","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"77","No","417","39.6","310","37.9","65","50.4","42","39.6","0","NaN","0","NaN","167","39.4","250","39.8","0","NaN","140","40.5","135","42.6","90","38.5","38","33","14","35","0","NaN","143","81.2","205","56.2","48","17.7","21","8.8","101","45.5","52","32.7","83","53.5","50","30.7","71","41.5","60","33","0","0","84","100","0","0","333","100","0","0"
"78","NsNc","12","1.1","12","1.5","0","0","0","0","0","NaN","0","NaN","5","1.2","7","1.1","0","NaN","6","1.7","4","1.3","1","0.4","1","0.9","0","0","0","NaN","2","1.1","8","2.2","2","0.7","0","0","3","1.4","2","1.3","1","0.6","0","0","3","1.8","3","1.6","0","0","0","0","0","0","0","0","12","100"
"79","Sí","623","59.2","495","60.6","64","49.6","64","60.4","0","NaN","0","NaN","252","59.4","371","59.1","0","NaN","200","57.8","178","56.2","143","61.1","76","66.1","26","65","0","NaN","31","17.6","152","41.6","221","81.5","219","91.2","118","53.2","105","66","71","45.8","113","69.3","97","56.7","119","65.4","458","100","0","0","165","100","0","0","0","0"
"80","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"82","P12CuantosHijos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"83","1","247","23.5","195","23.9","27","20.9","25","23.6","0","NaN","0","NaN","110","25.9","137","21.8","0","NaN","73","21.1","77","24.3","54","23.1","34","29.6","9","22.5","0","NaN","28","15.9","96","26.3","85","31.4","38","15.8","44","19.8","36","22.6","30","19.4","49","30.1","36","21.1","52","28.6","159","34.7","0","0","88","53.3","0","0","0","0"
"84","2","174","16.5","132","16.2","22","17.1","20","18.9","0","NaN","0","NaN","73","17.2","101","16.1","0","NaN","55","15.9","49","15.5","44","18.8","20","17.4","6","15","0","NaN","3","1.7","34","9.3","65","24","72","30","33","14.9","28","17.6","13","8.4","30","18.4","34","19.9","36","19.8","136","29.7","0","0","38","23","0","0","0","0"
"85","3","79","7.5","67","8.2","4","3.1","8","7.5","0","NaN","0","NaN","33","7.8","46","7.3","0","NaN","34","9.8","18","5.7","16","6.8","8","7","3","7.5","0","NaN","0","0","7","1.9","22","8.1","50","20.8","7","3.2","20","12.6","7","4.5","17","10.4","12","7","16","8.8","63","13.8","0","0","16","9.7","0","0","0","0"
"86","4","39","3.7","32","3.9","3","2.3","4","3.8","0","NaN","0","NaN","14","3.3","25","4","0","NaN","7","2","8","2.5","11","4.7","7","6.1","6","15","0","NaN","0","0","1","0.3","10","3.7","28","11.7","3","1.4","13","8.2","0","0","10","6.1","4","2.3","9","4.9","23","5","0","0","16","9.7","0","0","0","0"
"87","5","11","1","8","1","1","0.8","2","1.9","0","NaN","0","NaN","4","0.9","7","1.1","0","NaN","2","0.6","3","0.9","2","0.9","2","1.7","2","5","0","NaN","0","0","0","0","2","0.7","9","3.8","0","0","4","2.5","0","0","3","1.8","1","0.6","3","1.6","7","1.5","0","0","4","2.4","0","0","0","0"
"88","6","4","0.4","4","0.5","0","0","0","0","0","NaN","0","NaN","2","0.5","2","0.3","0","NaN","1","0.3","3","0.9","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","4","1.7","0","0","0","0","0","0","3","1.8","1","0.6","0","0","2","0.4","0","0","2","1.2","0","0","0","0"
"89","7","2","0.2","2","0.2","0","0","0","0","0","NaN","0","NaN","0","0","2","0.3","0","NaN","0","0","1","0.3","0","0","1","0.9","0","0","0","NaN","0","0","0","0","0","0","2","0.8","1","0.5","0","0","1","0.6","0","0","0","0","0","0","2","0.4","0","0","0","0","0","0","0","0"
"90","9","1","0.1","1","0.1","0","0","0","0","0","NaN","0","NaN","1","0.2","0","0","0","NaN","0","0","1","0.3","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","0.4","0","0","0","0","0","0","1","0.6","0","0","0","0","0","0","0","0","1","0.6","0","0","0","0"
"91","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93","P13EdadHijosenCasa","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"94","menos de 4 años","128","12.2","86","10.5","29","22.5","4.43003798654686","4.2","0","NaN","0","NaN","9.06421759221486","2.1","71","11.3","0","NaN","6.96290721134349","2","34","10.7","7.63919494781102","3.3","4.69810272839049","4.1","14","35","0","NaN","3.05688337801861","1.7","8.57213937513488","2.3","31","11.4","3","1.2","4.63509087467465","2.1","5.55616600825359","3.5","1.39262124764558","0.9","24","14.7","5.29253521700876","3.1","47","25.8","106","23.1","0","0","5.7162724715785","3.5","0","0","0","0"
"95","entre 5 y 9 años","145","13.8","116","14.2","18","14","4.20896733111153","4","0","NaN","0","NaN","11.0600064614956","2.6","82","13.1","0","NaN","9.28609750452857","2.7","42","13.2","8.29521396999989","3.5","5.14497128318758","4.5","9","22.5","0","NaN","3.05688337801861","1.7","9.78551772402763","2.7","56","20.7","13","5.4","6.04140294302191","2.7","5.98264547006909","3.8","3.74717850642506","2.4","41","25.2","4.72520838863912","2.8","38","20.9","114","24.9","0","0","6.57597402045262","4","0","0","0","0"
"96","entre 10 y 14 años","125","11.9","95","11.6","12","9.3","5.86104257461705","5.5","0","NaN","0","NaN","11.077967371072","2.6","64","10.2","0","NaN","9.45011608461577","2.7","29","9.1","6.78652218407694","2.9","5.97900206024024","5.2","5","12.5","0","NaN","0","0","7.11882103967466","2","70","25.8","31","12.9","6.72610893576904","3","6.17367103328164","3.9","4.48806400857537","2.9","25","15.3","4.72690468501578","2.8","36","19.8","98","21.4","0","0","7.26497686621511","4.4","0","0","0","0"
"97","más de 15 años","238","22.6","202","24.7","14","10.9","6.22026068187849","5.9","0","NaN","0","NaN","12.6497139099686","3","140","22.3","0","NaN","11.4488174888563","3.3","72","22.7","8.50681283748156","3.6","6.39550362107225","5.6","7","17.5","0","NaN","0","0","1","0.3","90","33.2","147","61.3","8.14837088215705","3.7","7.12156889299598","4.5","5.70197677099717","3.7","45","27.6","5.82254929344235","3.4","32","17.6","194","42.4","0","0","8.15576432462673","4.9","0","0","0","0"
"98","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100","P14","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"101","Uniparental","142","13.5","113","13.8","16","12.4","13","12.3","0","NaN","0","NaN","74","17.5","68","10.8","0","NaN","41","11.8","52","16.4","26","11.1","16","13.9","7","17.5","0","NaN","14","8","51","14","40","14.8","37","15.4","31","14","22","13.8","7","4.5","32","19.6","17","9.9","33","18.1","33","7.2","9","10.7","65","39.4","35","10.5","0","0"
"102","Pareja joven sin hijo","66","6.3","49","6","10","7.8","7","6.6","0","NaN","0","NaN","24","5.7","42","6.7","0","NaN","24","6.9","19","6","13","5.6","9","7.8","1","2.5","0","NaN","10","5.7","35","9.6","17","6.3","4","1.7","14","6.3","10","6.3","11","7.1","6","3.7","17","9.9","8","4.4","5","1.1","55","65.5","0","0","6","1.8","0","0"
"103","Unipersonal","239","22.7","188","23","32","24.8","19","17.9","0","NaN","0","NaN","91","21.5","148","23.6","0","NaN","74","21.4","86","27.1","53","22.6","22","19.1","4","10","0","NaN","60","34.1","99","27.1","37","13.7","43","17.9","40","18","35","22","60","38.7","39","23.9","27","15.8","38","20.9","10","2.2","2","2.4","60","36.4","167","50.2","0","0"
"104","Parejas con hijos y otros parientes","65","6.2","47","5.8","7","5.4","11","10.4","0","NaN","0","NaN","25","5.9","40","6.4","0","NaN","13","3.8","14","4.4","28","12","9","7.8","1","2.5","0","NaN","13","7.4","27","7.4","15","5.5","10","4.2","6","2.7","8","5","1","0.6","25","15.3","21","12.3","4","2.2","34","7.4","1","1.2","11","6.7","19","5.7","0","0"
"105","Parejas jóvenes con hijos","153","14.5","108","13.2","25","19.4","20","18.9","0","NaN","0","NaN","61","14.4","92","14.6","0","NaN","45","13","40","12.6","36","15.4","17","14.8","15","37.5","0","NaN","21","11.9","74","20.3","50","18.5","8","3.3","15","6.8","25","15.7","7","4.5","28","17.2","16","9.4","62","34.1","135","29.5","2","2.4","9","5.5","7","2.1","0","0"
"106","Parejas maduras con hijos","296","28.1","235","28.8","32","24.8","29","27.4","0","NaN","0","NaN","125","29.5","171","27.2","0","NaN","110","31.8","77","24.3","60","25.6","37","32.2","12","30","0","NaN","56","31.8","52","14.2","69","25.5","119","49.6","78","35.1","52","32.7","42","27.1","33","20.2","61","35.7","30","16.5","175","38.2","2","2.4","20","12.1","99","29.7","0","0"
"107","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
